 	Text	Types	Tokens	Frequencies	TTR	h-Point	Entropy	Average Tokens Length	R1	Λ (Lambda)	
n_1	n_1	198	286	[...]	0.692308	5	7.295401	5.461538	0.910839	1.755582	
n_2	n_2	197	300	[...]	0.656667	6.5	7.196172	4.91	0.890417	1.66274	
n_3	n_3	189	300	[...]	0.63	7	7.082131	4.936667	0.868333	1.604331	
n_4	n_4	204	299	[...]	0.682274	7	7.298109	4.9699	0.894649	1.711673	
n_5	n_5	201	300	[...]	0.67	6	7.271903	5.346667	0.896667	1.701143	
n_6	n_6	197	300	[...]	0.656667	6.666667	7.12374	5.113333	0.864074	1.680594	
n_7	n_7	201	300	[...]	0.67	6	7.288281	5.043333	0.916667	1.675356	
n_8	n_8	186	300	[...]	0.62	7	7.086021	4.95	0.878333	1.568546	
n_9	n_9	170	300	[...]	0.566667	6.666667	6.959454	4.653333	0.884074	1.439799	
n_10	n_10	183	297	[...]	0.616162	6.666667	7.053987	4.942761	0.88627	1.553172	
n_11	n_11	180	300	[...]	0.6	7	6.966136	5.043333	0.855	1.533438	
n_12	n_12	183	300	[...]	0.61	6	6.948142	4.78	0.833333	1.629236	
n_13	n_13	201	300	[...]	0.67	7	7.238247	5.2	0.898333	1.678776	
n_14	n_14	196	300	[...]	0.653333	6	7.156761	5.133333	0.86	1.681078	
n_15	n_15	199	299	[...]	0.665552	5	7.236829	5.311037	0.884615	1.702883	
n_16	n_16	197	300	[...]	0.656667	5.666667	7.126657	5.026667	0.863519	1.697393	
n_17	n_17	199	300	[...]	0.663333	6	7.26729	5.02	0.896667	1.68262	
n_18	n_18	194	300	[...]	0.646667	6	7.216519	4.903333	0.903333	1.634548	
n_19	n_19	208	296	[...]	0.702703	5.666667	7.305442	5.324324	0.89208	1.776485	
n_20	n_20	188	300	[...]	0.626667	6	7.127162	4.956667	0.89	1.616293	
n_21	n_21	196	300	[...]	0.653333	5.5	7.187569	4.846667	0.887083	1.668917	
n_22	n_22	199	300	[...]	0.663333	6	7.232895	4.953333	0.883333	1.675888	
n_23	n_23	192	300	[...]	0.64	6	7.162483	4.96	0.873333	1.64846	
n_24	n_24	191	300	[...]	0.636667	7	7.154848	4.853333	0.891667	1.596205	
n_25	n_25	185	300	[...]	0.616667	7	7.101715	4.84	0.895	1.556869	
n_26	n_26	194	300	[...]	0.646667	6	7.21316	4.943333	0.893333	1.637969	
n_27	n_27	207	299	[...]	0.692308	5.5	7.305132	5.304348	0.893395	1.765747	
n_28	n_28	197	300	[...]	0.656667	6	7.246991	5.026667	0.896667	1.679539	
n_29	n_29	192	299	[...]	0.64214	7	7.139977	4.829431	0.867893	1.6293	
n_30	n_30	198	300	[...]	0.66	5	7.2887	5.073333	0.918333	1.669532	
n_31	n_31	195	299	[...]	0.652174	6	7.218629	4.899666	0.90301	1.664235	
n_32	n_32	199	298	[...]	0.667785	5	7.159957	4.936242	0.860738	1.769318	
n_33	n_33	178	300	[...]	0.593333	7	7.002101	4.956667	0.878333	1.506717	
n_34	n_34	191	299	[...]	0.638796	6	7.127735	4.896321	0.869565	1.64135	
n_35	n_35	186	298	[...]	0.624161	6	7.111758	4.791946	0.88255	1.578033	
n_36	n_36	188	300	[...]	0.626667	6	7.146943	4.7	0.876667	1.59602	
