Text,Types,Tokens,TTR,h-Point,Entropy,Average Tokens Length,R1,Λ (Lambda)
hatzidakis1.0,188,300,0.626667,5.666667,6.939501,5.47,0.820185,1.64332
hatzidakis2.0,190,300,0.633333,5,7.088677,5.5,0.868333,1.706598
hatzidakis3.0,184,300,0.613333,6,7.037806,5.206667,0.87,1.593299
hatzidakis4.0,185,300,0.616667,7,6.973635,5.386667,0.835,1.674142
hatzidakis5.0,195,300,0.65,5.666667,7.058996,5.363333,0.853519,1.767727
hatzidakis6.0,197,300,0.656667,5,7.211183,5.233333,0.885,1.706599
hatzidakis7.0,186,300,0.62,6.5,7.116955,4.946667,0.897083,1.572774
hatzidakis8.0,200,300,0.666667,6,7.264022,5.496667,0.9,1.712433
hatzidakis9.0,195,300,0.65,6,7.110613,5.366667,0.86,1.707379
hatzidakis10.0,205,300,0.683333,6,7.215156,5.733333,0.866667,1.805477
hatzidakis11.0,202,300,0.673333,6,7.221203,5.696667,0.878333,1.763699
hatzidakis12.0,197,300,0.656667,6,7.117785,5.55,0.873333,1.779506
hatzidakis13.0,202,300,0.673333,6,7.280304,5.436667,0.898333,1.758284
hatzidakis14.0,202,300,0.673333,6,7.162841,5.676667,0.873519,1.8227
hatzidakis15.0,186,300,0.62,6,6.943395,5.416667,0.834074,1.676128
hatzidakis16.0,202,300,0.673333,6,7.195118,5.626667,0.868333,1.809639
hatzidakis17.0,185,300,0.616667,6,6.982577,5.126667,0.836667,1.621432
hatzidakis18.0,194,300,0.646667,6,7.119354,5.366667,0.871667,1.662945
hatzidakis19.0,196,300,0.653333,6,7.184559,5.31,0.886667,1.678068
hatzidakis20.0,207,300,0.69,6,7.318828,5.356667,0.9,1.775027
hatzidakis21.0,201,300,0.67,6,7.265332,5.653333,0.891667,1.753447
hatzidakis22.0,192,300,0.64,6,6.977559,5.303333,0.82,1.758634
hatzidakis23.0,204,300,0.68,6,7.325323,5.17,0.920417,1.725914
hatzidakis24.0,192,300,0.64,6,7.139045,5.323333,0.876667,1.690201
hatzidakis25.0,194,300,0.646667,6,6.998105,5.116667,0.83,1.814427
hatzidakis26.0,197,300,0.656667,6,7.121035,5.626667,0.863519,1.740777
hatzidakis27.0,206,300,0.686667,6,7.23758,5.45,0.863333,1.773556
hatzidakis28.0,196,300,0.653333,6,7.141976,5.393333,0.88,1.746524
hatzidakis29.0,208,300,0.693333,6,7.307986,5.386667,0.90375,1.820906
hatzidakis30.0,216,300,0.72,6,7.411647,5.513333,0.901667,1.869091
hatzidakis31.0,201,300,0.67,6,7.203225,5.483333,0.87,1.739919
hatzidakis32.0,211,300,0.703333,6,7.34259,5.083333,0.883333,1.814842
hatzidakis33.0,195,300,0.65,6,7.113377,5.313333,0.867083,1.694333
hatzidakis34.0,198,300,0.66,6,7.129853,5.603333,0.856667,1.742302
hatzidakis35.0,202,300,0.673333,6,7.231105,5.353333,0.881667,1.774151
hatzidakis36.0,200,300,0.666667,6,7.189173,5.526667,0.876667,1.769866
hatzidakis37.0,178,300,0.593333,6,6.921658,5.343333,0.84,1.56478
hatzidakis38.0,200,300,0.666667,6,7.233569,5.543333,0.876667,1.703038
hatzidakis39.0,219,300,0.73,6,7.388498,5.95,0.888333,1.893059
hatzidakis40.0,202,300,0.673333,6,7.284777,5.376667,0.907083,1.715039
hatzidakis41.0,199,300,0.663333,6,7.140678,5.44,0.851667,1.761009
hatzidakis42.0,193,300,0.643333,6,7.090541,5.26,0.861667,1.669634
hatzidakis43.0,184,300,0.613333,6,6.973777,5.37,0.837083,1.624725
hatzidakis44.0,192,300,0.64,6,7.151279,5.443333,0.88375,1.643536
hatzidakis45.0,193,300,0.643333,6,7.146744,5.456667,0.877083,1.659727
hatzidakis46.0,176,300,0.586667,6,6.85141,5.12,0.840417,1.58474
hatzidakis47.0,200,300,0.666667,6,7.229068,5.256667,0.883333,1.726678
hatzidakis48.0,180,300,0.6,6,6.991333,5.09,0.867083,1.560443
hatzidakis49.0,190,300,0.633333,6,7.024911,5.466667,0.845,1.685905
hatzidakis50.0,200,300,0.666667,6,7.204603,5.573333,0.873333,1.759624
hatzidakis51.0,191,300,0.636667,6,7.088614,5.463333,0.863333,1.656541
hatzidakis52.0,184,300,0.613333,6,6.911029,5.343333,0.818333,1.618546
hatzidakis53.0,182,300,0.606667,6,7.101538,4.913333,0.903333,1.56518
hatzidakis54.0,54,75,0.72,6,5.478623,4.933333,0.86,1.434191
