	Text	TTR	Entropy	Average Tokens Length
1	n_2	0,656667	7,196172	4,91
2	n_3	0,63	7,082131	4,936667
3	n_4	0,682274	7,298109	4,9699
4	n_5	0,67	7,271903	5,346667
5	n_6	0,656667	7,12374	5,113333
6	n_7	0,67	7,288281	5,043333
7	n_8	0,62	7,086021	4,95
8	n_9	0,566667	6,959454	4,653333
9	n_10	0,616162	7,053987	4,942761
10	n_11	0,6	6,966136	5,043333
11	n_12	0,61	6,948142	4,78
12	n_13	0,67	7,238247	5,2
13	n_14	0,653333	7,156761	5,133333
14	n_15	0,665552	7,236829	5,311037
15	n_16	0,656667	7,126657	5,026667
16	n_17	0,663333	7,26729	5,02
17	n_18	0,646667	7,216519	4,903333
18	n_19	0,702703	7,305442	5,324324
19	n_20	0,626667	7,127162	4,956667
20	n_21	0,653333	7,187569	4,846667
21	n_22	0,663333	7,232895	4,953333
22	n_23	0,64	7,162483	4,96
23	n_24	0,636667	7,154848	4,853333
24	n_25	0,616667	7,101715	4,84
25	n_26	0,646667	7,21316	4,943333
26	n_27	0,692308	7,305132	5,304348
27	n_28	0,656667	7,246991	5,026667
28	n_29	0,64214	7,139977	4,829431
29	n_30	0,66	7,2887	5,073333
30	n_31	0,652174	7,218629	4,899666
31	n_32	0,667785	7,159957	4,936242
32	n_33	0,593333	7,002101	4,956667
33	n_34	0,638796	7,127735	4,896321
34	n_35	0,624161	7,111758	4,791946
35	n_36	0,626667	7,146943	4,7
36	n_37	0,690236	7,255302	5,080808
37	n_38	0,66	7,246493	4,896667
38	n_39	0,606667	7,085968	5,0
39	n_40	0,64	7,143759	5,19
40	n_41	0,605351	7,002826	5,093645
41	n_42	0,633333	7,154831	5,07
42	n_43	0,613333	7,050884	5,003333
43	n_44	0,648829	7,207679	5,063545
44	n_45	0,66	7,239778	5,126667
45	n_46	0,647651	7,20501	4,969799
46	n_47	0,666667	7,214699	5,397306
47	n_48	0,593333	7,021105	4,99
48	n_49	0,643333	7,152596	5,066667
49	n_50	0,646667	7,208449	5,193333
50	n_51	0,633333	7,17344	4,706667
51	n_52	0,65	7,221312	4,926667
52	n_53	0,618729	7,09295	4,735786
53	n_54	0,633333	7,102998	4,933333
55	n_56	0,588629	6,981546	4,622074
56	n_57	0,672474	7,147081	5,209059
57	n_58	0,65	7,189385	5,046667
58	n_59	0,666667	7,220491	4,953333
59	n_60	0,693333	7,320989	5,263333
60	n_61	0,646667	7,212301	4,713333
61	n_62	0,688136	7,265142	4,759322
62	n_63	0,66	7,19945	4,853333
63	n_64	0,666667	7,28324	5,166667
64	n_65	0,61	7,06722	4,816667
65	n_66	0,635452	7,111957	4,789298
66	n_67	0,625418	7,084095	4,779264
67	n_68	0,633333	7,067809	4,89
68	n_69	0,626667	7,179634	4,966667
69	n_70	0,672241	7,258418	5,264214
70	n_71	0,61	7,022096	4,88
71	n_72	0,632107	7,169117	5,043478
72	n_73	0,667797	7,187272	5,132203
73	n_74	0,668896	7,282708	5,287625
76	n_77	0,625418	7,005239	5,023411
77	n_78	0,61	6,916267	4,793333
78	n_79	0,683333	7,267504	5,386667
79	n_80	0,643333	7,190152	4,673333
80	n_81	0,583333	6,982434	4,796667
81	n_82	0,63	7,054985	4,823333
