	Text	Types	Tokens	TTR	h-Point	Entropy	Average Tokens Length	R1	Λ (Lambda)
0	n_1	198	286	0,692308	5,0	7,295401	5,461538	0,910839	1,755582
1	n_2	197	300	0,656667	6,5	7,196172	4,91	0,890417	1,66274
2	n_3	189	300	0,63	7,0	7,082131	4,936667	0,868333	1,604331
3	n_4	204	299	0,682274	7,0	7,298109	4,9699	0,894649	1,711673
4	n_5	201	300	0,67	6,0	7,271903	5,346667	0,896667	1,701143
5	n_6	197	300	0,656667	6,666667	7,12374	5,113333	0,864074	1,680594
6	n_7	201	300	0,67	6,0	7,288281	5,043333	0,916667	1,675356
7	n_8	186	300	0,62	7,0	7,086021	4,95	0,878333	1,568546
8	n_9	170	300	0,566667	6,666667	6,959454	4,653333	0,884074	1,439799
9	n_10	183	297	0,616162	6,666667	7,053987	4,942761	0,88627	1,553172
10	n_11	180	300	0,6	7,0	6,966136	5,043333	0,855	1,533438
11	n_12	183	300	0,61	6,0	6,948142	4,78	0,833333	1,629236
12	n_13	201	300	0,67	7,0	7,238247	5,2	0,898333	1,678776
13	n_14	196	300	0,653333	6,0	7,156761	5,133333	0,86	1,681078
14	n_15	199	299	0,665552	5,0	7,236829	5,311037	0,884615	1,702883
15	n_16	197	300	0,656667	5,666667	7,126657	5,026667	0,863519	1,697393
16	n_17	199	300	0,663333	6,0	7,26729	5,02	0,896667	1,68262
17	n_18	194	300	0,646667	6,0	7,216519	4,903333	0,903333	1,634548
18	n_19	208	296	0,702703	5,666667	7,305442	5,324324	0,89208	1,776485
19	n_20	188	300	0,626667	6,0	7,127162	4,956667	0,89	1,616293
20	n_21	196	300	0,653333	5,5	7,187569	4,846667	0,887083	1,668917
21	n_22	199	300	0,663333	6,0	7,232895	4,953333	0,883333	1,675888
22	n_23	192	300	0,64	6,0	7,162483	4,96	0,873333	1,64846
23	n_24	191	300	0,636667	7,0	7,154848	4,853333	0,891667	1,596205
24	n_25	185	300	0,616667	7,0	7,101715	4,84	0,895	1,556869
25	n_26	194	300	0,646667	6,0	7,21316	4,943333	0,893333	1,637969
26	n_27	207	299	0,692308	5,5	7,305132	5,304348	0,893395	1,765747
27	n_28	197	300	0,656667	6,0	7,246991	5,026667	0,896667	1,679539
28	n_29	192	299	0,64214	7,0	7,139977	4,829431	0,867893	1,6293
29	n_30	198	300	0,66	5,0	7,2887	5,073333	0,918333	1,669532
30	n_31	195	299	0,652174	6,0	7,218629	4,899666	0,90301	1,664235
31	n_32	199	298	0,667785	5,0	7,159957	4,936242	0,860738	1,769318
32	n_33	178	300	0,593333	7,0	7,002101	4,956667	0,878333	1,506717
33	n_34	191	299	0,638796	6,0	7,127735	4,896321	0,869565	1,64135
34	n_35	186	298	0,624161	6,0	7,111758	4,791946	0,88255	1,578033
35	n_36	188	300	0,626667	6,0	7,146943	4,7	0,876667	1,59602
36	n_37	205	297	0,690236	6,333333	7,255302	5,080808	0,878975	1,773392
37	n_38	198	300	0,66	6,0	7,246493	4,896667	0,896667	1,657425
38	n_39	182	300	0,606667	7,0	7,085968	5,0	0,895	1,525312
39	n_40	192	300	0,64	6,0	7,143759	5,19	0,873333	1,632468
40	n_41	181	299	0,605351	6,0	7,002826	5,093645	0,862876	1,574176
41	n_42	190	300	0,633333	6,0	7,154831	5,07	0,903333	1,598154
42	n_43	184	300	0,613333	6,5	7,050884	5,003333	0,887083	1,548612
43	n_44	194	299	0,648829	6,0	7,207679	5,063545	0,889632	1,639055
44	n_45	198	300	0,66	6,0	7,239778	5,126667	0,89	1,660845
45	n_46	193	298	0,647651	5,5	7,20501	4,969799	0,90646	1,635286
46	n_47	198	297	0,666667	6,0	7,214699	5,397306	0,875421	1,692613
